id,statement,count,denominator,unit,pct,basis,section,captured,edition
break.top,"In API management and secure connectivity, the Champion could not make the case to the Economic Buyer.",31,36,companies,86,simulated,the recurring break,2026-08-07,2026-Q3
break.any,At least one internal handoff failed on the page.,36,36,companies,100,simulated,the recurring break,2026-08-07,2026-Q3
signature.trust_complete_value_absent,"Trust case complete, value case absent.",23,36,companies,64,counted,named failure modes,2026-08-07,2026-Q3
signature.audience_single_voice,"Written in one voice, with a role left out.",13,36,companies,36,counted,named failure modes,2026-08-07,2026-Q3
signature.category_claim_only,"Says what it is, never what it does.",10,36,companies,28,counted,named failure modes,2026-08-07,2026-Q3
signature.no_enterprise_signal,No enterprise-readiness signal anywhere.,7,36,companies,19,counted,named failure modes,2026-08-07,2026-Q3
signature.nobody_self_identifies,Never says whose job this is.,7,36,companies,19,counted,named failure modes,2026-08-07,2026-Q3
signature.sales_gate_only_no_numbers,"Only path is a human, and no numbers to justify it.",6,36,companies,17,counted,named failure modes,2026-08-07,2026-Q3
signature.replacement_named_no_problem,"Names what it replaces, never what is wrong with it.",5,29,companies,17,counted,named failure modes,2026-08-07,2026-Q3
signature.villain_vacuum_vitamin,Names no enemy and frames a nice-to-have.,4,36,companies,11,counted,named failure modes,2026-08-07,2026-Q3
signature.proof_floor_zero,No proof of any kind.,3,36,companies,8,counted,named failure modes,2026-08-07,2026-Q3
signature.claim_parity_no_alternative,Parity claims and argues against nothing.,1,36,companies,3,counted,named failure modes,2026-08-07,2026-Q3
signature.pricing_opaque_plg,Self-serve motion with no public price.,1,36,companies,3,counted,named failure modes,2026-08-07,2026-Q3
signature.quantified_claim_unproven,A number in the hero with no proof beside it.,1,36,companies,3,counted,named failure modes,2026-08-07,2026-Q3
tagged.champion_armed_cannot_justify,Champion armed cannot justify.,30,36,companies,83,simulated,named failure modes,2026-08-07,2026-Q3
tagged.distracted_never_reaches_proof,Distracted never reaches proof.,26,36,companies,72,simulated,named failure modes,2026-08-07,2026-Q3
tagged.td_advances_on_faith,Td advances on faith.,23,36,companies,64,simulated,named failure modes,2026-08-07,2026-Q3
tagged.guardian_nowhere_to_verify,Guardian nowhere to verify.,14,36,companies,39,simulated,named failure modes,2026-08-07,2026-Q3
tagged.hero_promises_body_silent,Hero promises body silent.,7,36,companies,19,simulated,named failure modes,2026-08-07,2026-Q3
tagged.eb_never_addressed,Eb never addressed.,4,36,companies,11,simulated,named failure modes,2026-08-07,2026-Q3
tagged.eu_converts_committee_never_forms,Eu converts committee never forms.,3,36,companies,8,simulated,named failure modes,2026-08-07,2026-Q3
tagged.role_mismatch_page_vs_buyer,Role mismatch page vs buyer.,3,36,companies,8,simulated,named failure modes,2026-08-07,2026-Q3
friction.FRICTION_ROI_UNCLEAR,"The page carried the friction ""roi unclear"".",32,36,companies,89,simulated,the friction inventory,2026-08-07,2026-Q3
